index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
56,-0.456509738,-1.360052059,-1.286798937,0.641302416,-1.569500559,1.292248265,0.055309297,-0.10228014,0.091702685,-0.400883224
57,-1.483779496,1.11782468,0.46445095,1.341702531,1.273651933,-0.391138503,-0.398631975,-0.096673848,-0.131373861,0.353034482
58,-2.757504227,-0.998528233,0.101863478,0.393262294,-1.435368078,1.581006394,0.005323563,-1.056899069,0.240479211,0.410681373
59,1.459761902,-1.952713802,0.251288606,-0.737686205,0.17052833,0.508395274,-0.319723583,0.034272484,0.012088937,0.025365967
60,-2.354700698,0.753355401,-0.09805007,-1.973107964,-1.098098884,-1.262138081,-0.009152712,-0.276495424,-0.388401899,0.491586562
61,1.793495701,1.115396541,0.54281372,-1.039050449,0.149303942,-0.204439788,-0.235649883,-0.115975592,0.351618959,0.0367833
62,-0.472200376,1.767219211,-1.420751447,0.310269364,-1.649987993,0.693461255,-0.22460259,-0.159463409,0.347748105,0.111466672
63,-0.332753453,-1.78466995,-0.477774541,0.426298328,0.574310634,-0.818227809,0.192694884,0.114268224,0.214183877,-0.461704441
64,0.062384243,-1.789327177,1.51081404,-0.743707729,0.399685303,0.435744997,-0.062016351,-0.154613431,0.03818599,0.421447834
65,-0.120770965,1.455676587,-0.891878015,-0.632421141,0.43963416,-0.42679151,-0.235570613,0.062782923,0.402680511,-0.431128812
66,-0.624534579,1.547121962,-1.996669141,-0.58636457,0.095396805,-0.12996275,-1.099760088,0.543090721,0.14991702,0.611275159
67,-0.425837062,0.932376184,-0.88146602,1.488987645,1.352566966,-0.771670035,-0.75288139,0.124304338,-0.161346718,0.434525931
68,-1.273157272,1.112607843,0.241459939,1.437511636,1.246733275,-0.429842583,-0.408327483,0.221679334,-0.180841057,0.388111721
69,1.737111416,0.758583444,0.839817685,-0.839608326,0.230789585,-0.679174559,0.110921091,-0.261250184,0.129520279,-0.007476106
70,-0.232033978,0.394946442,-0.898477877,-1.47346613,-0.92708074,-2.048119581,0.60288161,0.271827593,-0.357155408,-0.380156876
71,0.830414591,0.860856798,1.571169261,0.319111311,1.096498756,0.55691096,-0.483074805,-0.029745369,-0.247754104,0.358742537
72,-2.481031185,-1.431222045,0.250900258,-0.227015625,0.473265202,0.053667581,-0.547495658,-0.41892678,0.159426742,0.410231959
73,-0.103239867,0.972251307,-0.58392536,2.492294201,-0.278043173,0.127119951,0.516575591,-0.230001445,0.159501753,-0.026018133
74,0.251711344,-0.569421138,1.889662832,-0.364658782,0.417575844,-0.250253101,0.347384703,-0.535927622,-1.064243718,0.275574952
75,1.081619693,-1.616787874,0.179860487,0.583299326,-1.238846699,0.992990291,0.948201833,-0.377004454,0.100759594,0.5012524
76,-0.595431319,-1.679789842,-0.723171281,-0.055996581,0.157738713,0.013788348,-0.415320598,-0.133892633,0.160786804,-0.463154864
77,1.373934941,-2.040913246,0.873458566,-0.340955795,0.512644139,-0.219857082,0.346771814,-0.268436172,0.146031999,-0.03012937
78,-0.589993949,-1.643184198,-1.00233502,-0.382911881,0.134677254,0.329661971,-0.879040888,-0.004602756,0.110763951,-0.440242824
